Tenant Name,Address,Region,Record Type,Primary Category,Status,CloseDate,OpenDate,openclosed,Last Reviewed/Verified Date,Tenant 18-Digit ID,Account: Account 18-Digit ID,Longitude,Latitude
10 Corso Como,1 Fulton Street,SSS,Shopping,Souvenir & Gift Shops,Former,3/17/2020,9/13/2018,closed,3/31/2020,a154100000APCueAAH,0014100001yU0gYAAS,-74.0032893,40.7067825
Financier Patisserie,1 Hanover Square,BID SE,Restaurant/Bar,Quick Eats,Former,6/25/2020,,closed,,a1541000008jSmIAAU,0014100001dLDZQAA4,-74.009734,40.7046145
Thunder Bun,1 New York Plaza,BID SE,Restaurant/Bar,Quick Eats,Former,3/31/2021,7/13/2015,closed,1/19/2021,a1541000008jRzQAAU,0014100001dLFoUAAW,-74.0120105,40.7021004
Cappone's Salumeria,1 New York Plaza,BID SE,Restaurant/Bar,Quick Eats,Former,7/19/2021,3/17/2016,closed,1/15/2021,a1541000008jS00AAE,0014100001dLFpaAAG,-74.0120105,40.7021004
Haru Restaurant & Sushi Bar,1 Wall Street Court,BID SE,Restaurant/Bar,Full Service Dining,Former,10/19/2020,1/1/2007,closed,10/1/2020,a1541000008jRw4AAE,0014100001dLBjiAAG,-74.008597,40.705192
Xi'an Famous Foods,10 Liberty Place,BID NE,Restaurant/Bar,Quick Eats,Former,10/1/2020,11/26/2018,closed,11/28/2018,a152M00000AjW0HQAV,0012M000021ycfKQAQ,-74.009347,40.709193
Financier Patisserie,10 Liberty Street,BID SE,Restaurant/Bar,Quick Eats,Former,9/30/2020,4/1/2006,closed,9/30/2020,a1541000008jRvzAAE,0014100001dLDvNAAW,-74.00808246,40.70738715
Aroma Espresso Bar,100 Church Street,BID NW,Restaurant/Bar,Quick Eats,Former,12/29/2020,2/15/2012,closed,1/4/2021,a1541000008jSEEAA2,0014100001dLC3iAAG,-74.0101583,40.7133292
Nonfinito Gallery,108 South Street,SSS,Point of Interest,Museums/Galleries,Former,10/1/2020,6/1/2018,closed,2/4/2019,a152M00000BPTp4QAH,0012M000024qcL5QAI,-74.002063,40.707101
Cafe Plaza Deli,11 Broadway,BID SW,Restaurant/Bar,Quick Eats,Former,11/9/2020,,closed,11/11/2020,a1541000008jSNLAA2,0014100001dLBUZAA4,-74.0140249,40.7052799
Poke Bar,11 Park Place,BID NW,Restaurant/Bar,Quick Eats,Former,6/16/2021,6/1/2019,closed,6/17/2019,a152M00001feStuQAE,0012M00002C7e7PQAR,-74.0081867,40.7133359
